,target_code,target_description,concept_x,concept_y
1432,671951000000108,Knee sprain NOS,,Dislocation of patella
1433,209527001,Knee sprain NOS,,Dislocation of patella
1434,671931000000101,Other specified knee sprain,,Dislocation of patella
1435,209524008,Other specified knee sprain,,Dislocation of patella
1436,54888009,Sprain of knee,,Dislocation of patella
1437,269137006,Sprain of knee and leg,,Dislocation of patella
1438,157291009,Sprain of knee joint,,Dislocation of patella
1439,263131000,Sprain of ligament of knee joint,,Dislocation of patella
1440,209514000,Sprain: [knee] &/or [leg],,Dislocation of patella
1441,154268000,(Specific GIT infectious disease) or (dysentery) or (bacterial: [gastroenteritis] or [diarrhoea]),,Diarrhoea and gastroenteritis of presumed infectious origin
1442,266173000,(Specific GIT infectious disease) or (dysentery) or (bacterial: [gastroenteritis] or [diarrhoea]),,Diarrhoea and gastroenteritis of presumed infectious origin
1443,46799006,Dysenteric diarrhoea,,Diarrhoea and gastroenteritis of presumed infectious origin
1444,111939009,Dysentery,,Diarrhoea and gastroenteritis of presumed infectious origin
1445,14255005,Haemorrhagic dysentery,,Diarrhoea and gastroenteritis of presumed infectious origin
1446,1382631000000101,Poisoning caused by household product,,Toxic effect: Toxic effect of unspecified substance
1447,464981000000108,[X]Toxic effect of other alcohols,,Toxic effect: Ethanol
1448,157683008,Alcohol causing toxic effect,,Toxic effect: Ethanol
1449,212820004,Alcohol causing toxic effect NOS,,Toxic effect: Ethanol
1450,157686000,Alcohol causing toxic effect NOS,,Toxic effect: Ethanol
1451,592581000000100,Alcohol causing toxic effect NOS,,Toxic effect: Ethanol
1452,212819005,Other alcohol causing toxic effect,,Toxic effect: Ethanol
1453,592571000000102,Other alcohol causing toxic effect,,Toxic effect: Ethanol
1454,67426006,Toxic effect of alcohol,,Toxic effect: Ethanol
1455,10483001,"Toxic effect of other alcohol, NEC",,Toxic effect: Ethanol
1456,39355002,Hypernatraemia,,Hyperosmolality and hypernatraemia
1457,771115008,Hypernatraemia,,Hyperosmolality and hypernatraemia
1458,190879002,Hyperosmolality &/or hypernatraemia,,Hyperosmolality and hypernatraemia
1459,154755007,Sodium overload,,Hyperosmolality and hypernatraemia
1460,286926003,Sodium overload,,Hyperosmolality and hypernatraemia
1461,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1462,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1463,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1464,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1465,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1466,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1467,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1468,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1469,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1470,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1471,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1472,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1473,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1474,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1475,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1476,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1477,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1478,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1479,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1480,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1481,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1482,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1483,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1484,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1485,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1486,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1487,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1488,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1489,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1490,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1491,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1492,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1493,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1494,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1495,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1496,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1497,62994001,Tracheitis,,Acute bronchitis due to rhinovirus
1498,195707008,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1499,195706004,Tracheopharyngitis,,Acute bronchitis due to rhinovirus
1500,197335009,(Hepatic failure (& [NOS]) or (other sequelae of chronic liver disease),,Alcoholic hepatic failure
1501,713652000,Decompensated liver disease,,Alcoholic hepatic failure
1502,197334008,Hepatic failure,,Alcoholic hepatic failure
1503,59927004,Hepatic failure,,Alcoholic hepatic failure
1504,662331000000101,Hepatic failure NOS,,Alcoholic hepatic failure
1505,235883002,Hepatic failure NOS,,Alcoholic hepatic failure
1506,662321000000103,Liver failure NOS,,Alcoholic hepatic failure
1507,235882007,Liver failure NOS,,Alcoholic hepatic failure
1508,197335009,(Hepatic failure (& [NOS]) or (other sequelae of chronic liver disease),,Alcoholic hepatic failure
1509,713652000,Decompensated liver disease,,Alcoholic hepatic failure
1510,197334008,Hepatic failure,,Alcoholic hepatic failure
1511,59927004,Hepatic failure,,Alcoholic hepatic failure
1512,662331000000101,Hepatic failure NOS,,Alcoholic hepatic failure
1513,235883002,Hepatic failure NOS,,Alcoholic hepatic failure
1514,662321000000103,Liver failure NOS,,Alcoholic hepatic failure
1515,235882007,Liver failure NOS,,Alcoholic hepatic failure
1516,197335009,(Hepatic failure (& [NOS]) or (other sequelae of chronic liver disease),,Alcoholic hepatic failure
1517,713652000,Decompensated liver disease,,Alcoholic hepatic failure
1518,197334008,Hepatic failure,,Alcoholic hepatic failure
1519,59927004,Hepatic failure,,Alcoholic hepatic failure
1520,662331000000101,Hepatic failure NOS,,Alcoholic hepatic failure
1521,235883002,Hepatic failure NOS,,Alcoholic hepatic failure
1522,662321000000103,Liver failure NOS,,Alcoholic hepatic failure
1523,235882007,Liver failure NOS,,Alcoholic hepatic failure
1524,197335009,(Hepatic failure (& [NOS]) or (other sequelae of chronic liver disease),,Alcoholic hepatic failure
1525,713652000,Decompensated liver disease,,Alcoholic hepatic failure
1526,197334008,Hepatic failure,,Alcoholic hepatic failure
1527,59927004,Hepatic failure,,Alcoholic hepatic failure
1528,662331000000101,Hepatic failure NOS,,Alcoholic hepatic failure
1529,235883002,Hepatic failure NOS,,Alcoholic hepatic failure
1530,662321000000103,Liver failure NOS,,Alcoholic hepatic failure
1531,235882007,Liver failure NOS,,Alcoholic hepatic failure
1532,154671004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1533,267467004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1534,593661000000102,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1535,190328004,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1536,551831000000104,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1537,190337004,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1538,24927004,Diabetes with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1539,420422005,Diabetic ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1540,630491000000104,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1541,190327009,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1542,154671004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1543,267467004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1544,593661000000102,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1545,190328004,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1546,551831000000104,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1547,190337004,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1548,24927004,Diabetes with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1549,420422005,Diabetic ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1550,630491000000104,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1551,190327009,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1552,154671004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1553,267467004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1554,593661000000102,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1555,190328004,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1556,551831000000104,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1557,190337004,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1558,24927004,Diabetes with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1559,420422005,Diabetic ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1560,630491000000104,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1561,190327009,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1562,154671004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1563,267467004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1564,593661000000102,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1565,190328004,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1566,551831000000104,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1567,190337004,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1568,24927004,Diabetes with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1569,420422005,Diabetic ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1570,630491000000104,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1571,190327009,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1572,154671004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1573,267467004,Diabetes mellitus (& [ketoacidosis]),Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1574,593661000000102,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1575,190328004,Diabetes mellitus NOS with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1576,551831000000104,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1577,190337004,Diabetes mellitus NOS with ketoacidotic coma,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1578,24927004,Diabetes with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1579,420422005,Diabetic ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1580,630491000000104,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1581,190327009,Other specified diabetes mellitus with ketoacidosis,Diabetes complications,Insulin-dependent diabetes mellitus; With ketoacidosis
1582,726523002,Cold injury,,"Effect of reduced temperature, unspecified"
1583,157716004,Effects of low temperature,,"Effect of reduced temperature, unspecified"
1584,11925005,Effects of reduced temperature,,"Effect of reduced temperature, unspecified"
1585,212935004,Other reduced temperature effects,,"Effect of reduced temperature, unspecified"
1586,671871000000107,Other reduced temperature effects,,"Effect of reduced temperature, unspecified"
1587,212936003,Reduced temperature effect NOS,,"Effect of reduced temperature, unspecified"
1588,671881000000109,Reduced temperature effect NOS,,"Effect of reduced temperature, unspecified"
1589,157721001,Reduced temperature effect NOS,,"Effect of reduced temperature, unspecified"
1590,425901000000107,[X]Other antepartum haemorrhage,,Threatened abortion
1591,156100004,Antepartum haemorrhage,,Threatened abortion
1592,157060009,Antepartum haemorrhage,,Threatened abortion
1593,34842007,Antepartum haemorrhage,,Threatened abortion
1594,198940008,Antepartum haemorrhage NOS,,Threatened abortion
1595,198936004,Antepartum haemorrhage NOS,,Threatened abortion
1596,156104008,Antepartum haemorrhage NOS,,Threatened abortion
1597,692781000000104,Antepartum haemorrhage NOS,,Threatened abortion
1598,198938003,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1599,592191000000105,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1600,198939006,Antepartum haemorrhage NOS - not deliv,,Threatened abortion
1601,606171000000102,"Antepartum haemorrhage NOS, not delivered",,Threatened abortion
1602,198937008,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1603,582781000000108,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1604,198896000,APH (& [abruptio placentae] and [placenta praevia]),,Threatened abortion
1605,198886009,Bleeding in early pregnancy (& [other haemorrhage]),,Threatened abortion
1606,198891005,Early pregnancy haemorrhage NOS,,Threatened abortion
1607,198893008,Early pregnancy haemorrhage NOS - delivered,,Threatened abortion
1608,198894002,Early pregnancy haemorrhage NOS - not delivered,,Threatened abortion
1609,198892003,Early pregnancy haemorrhage NOS unspecified,,Threatened abortion
1610,30850008,"Haemorrhage in early pregnancy, antepartum",,Threatened abortion
1611,644631000000106,Other antepartum haemorrhage,,Threatened abortion
1612,198931009,Other antepartum haemorrhage,,Threatened abortion
1613,626831000000102,Other antepartum haemorrhage - delivered,,Threatened abortion
1614,198933007,Other antepartum haemorrhage - delivered,,Threatened abortion
1615,626841000000106,Other antepartum haemorrhage - not delivered,,Threatened abortion
1616,198934001,Other antepartum haemorrhage - not delivered,,Threatened abortion
1617,198935000,Other antepartum haemorrhage NOS,,Threatened abortion
1618,582771000000106,Other antepartum haemorrhage NOS,,Threatened abortion
1619,198932002,Other antepartum haemorrhage unspecified,,Threatened abortion
1620,644641000000102,Other antepartum haemorrhage unspecified,,Threatened abortion
1621,11955003,"Other antepartum haemorrhage, NEC",,Threatened abortion
1622,267196007,Other haemorrhage in early pregnancy,,Threatened abortion
1623,198888005,Other haemorrhage in early pregnancy - delivered,,Threatened abortion
1624,198889002,Other haemorrhage in early pregnancy - not delivered,,Threatened abortion
1625,198890006,Other haemorrhage in early pregnancy NOS,,Threatened abortion
1626,198887000,Other haemorrhage in early pregnancy unspecified,,Threatened abortion
1627,111437002,"Other specified haemorrhage in early pregnancy, antepartum condition or complication",,Threatened abortion
1628,38939005,"Other specified haemorrhage in early pregnancy, NEC",,Threatened abortion
1629,111435005,"Other specified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1630,111433003,"Unspecified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1631,425901000000107,[X]Other antepartum haemorrhage,,Threatened abortion
1632,156100004,Antepartum haemorrhage,,Threatened abortion
1633,157060009,Antepartum haemorrhage,,Threatened abortion
1634,34842007,Antepartum haemorrhage,,Threatened abortion
1635,198940008,Antepartum haemorrhage NOS,,Threatened abortion
1636,198936004,Antepartum haemorrhage NOS,,Threatened abortion
1637,156104008,Antepartum haemorrhage NOS,,Threatened abortion
1638,692781000000104,Antepartum haemorrhage NOS,,Threatened abortion
1639,198938003,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1640,592191000000105,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1641,198939006,Antepartum haemorrhage NOS - not deliv,,Threatened abortion
1642,606171000000102,"Antepartum haemorrhage NOS, not delivered",,Threatened abortion
1643,198937008,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1644,582781000000108,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1645,198896000,APH (& [abruptio placentae] and [placenta praevia]),,Threatened abortion
1646,198886009,Bleeding in early pregnancy (& [other haemorrhage]),,Threatened abortion
1647,198891005,Early pregnancy haemorrhage NOS,,Threatened abortion
1648,198893008,Early pregnancy haemorrhage NOS - delivered,,Threatened abortion
1649,198894002,Early pregnancy haemorrhage NOS - not delivered,,Threatened abortion
1650,198892003,Early pregnancy haemorrhage NOS unspecified,,Threatened abortion
1651,30850008,"Haemorrhage in early pregnancy, antepartum",,Threatened abortion
1652,644631000000106,Other antepartum haemorrhage,,Threatened abortion
1653,198931009,Other antepartum haemorrhage,,Threatened abortion
1654,626831000000102,Other antepartum haemorrhage - delivered,,Threatened abortion
1655,198933007,Other antepartum haemorrhage - delivered,,Threatened abortion
1656,626841000000106,Other antepartum haemorrhage - not delivered,,Threatened abortion
1657,198934001,Other antepartum haemorrhage - not delivered,,Threatened abortion
1658,198935000,Other antepartum haemorrhage NOS,,Threatened abortion
1659,582771000000106,Other antepartum haemorrhage NOS,,Threatened abortion
1660,198932002,Other antepartum haemorrhage unspecified,,Threatened abortion
1661,644641000000102,Other antepartum haemorrhage unspecified,,Threatened abortion
1662,11955003,"Other antepartum haemorrhage, NEC",,Threatened abortion
1663,267196007,Other haemorrhage in early pregnancy,,Threatened abortion
1664,198888005,Other haemorrhage in early pregnancy - delivered,,Threatened abortion
1665,198889002,Other haemorrhage in early pregnancy - not delivered,,Threatened abortion
1666,198890006,Other haemorrhage in early pregnancy NOS,,Threatened abortion
1667,198887000,Other haemorrhage in early pregnancy unspecified,,Threatened abortion
1668,111437002,"Other specified haemorrhage in early pregnancy, antepartum condition or complication",,Threatened abortion
1669,38939005,"Other specified haemorrhage in early pregnancy, NEC",,Threatened abortion
1670,111435005,"Other specified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1671,111433003,"Unspecified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1672,425901000000107,[X]Other antepartum haemorrhage,,Threatened abortion
1673,156100004,Antepartum haemorrhage,,Threatened abortion
1674,157060009,Antepartum haemorrhage,,Threatened abortion
1675,34842007,Antepartum haemorrhage,,Threatened abortion
1676,198940008,Antepartum haemorrhage NOS,,Threatened abortion
1677,198936004,Antepartum haemorrhage NOS,,Threatened abortion
1678,156104008,Antepartum haemorrhage NOS,,Threatened abortion
1679,692781000000104,Antepartum haemorrhage NOS,,Threatened abortion
1680,198938003,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1681,592191000000105,Antepartum haemorrhage NOS - delivered,,Threatened abortion
1682,198939006,Antepartum haemorrhage NOS - not deliv,,Threatened abortion
1683,606171000000102,"Antepartum haemorrhage NOS, not delivered",,Threatened abortion
1684,198937008,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1685,582781000000108,"Antepartum haemorrhage NOS, unspecified",,Threatened abortion
1686,198896000,APH (& [abruptio placentae] and [placenta praevia]),,Threatened abortion
1687,198886009,Bleeding in early pregnancy (& [other haemorrhage]),,Threatened abortion
1688,198891005,Early pregnancy haemorrhage NOS,,Threatened abortion
1689,198893008,Early pregnancy haemorrhage NOS - delivered,,Threatened abortion
1690,198894002,Early pregnancy haemorrhage NOS - not delivered,,Threatened abortion
1691,198892003,Early pregnancy haemorrhage NOS unspecified,,Threatened abortion
1692,30850008,"Haemorrhage in early pregnancy, antepartum",,Threatened abortion
1693,644631000000106,Other antepartum haemorrhage,,Threatened abortion
1694,198931009,Other antepartum haemorrhage,,Threatened abortion
1695,626831000000102,Other antepartum haemorrhage - delivered,,Threatened abortion
1696,198933007,Other antepartum haemorrhage - delivered,,Threatened abortion
1697,626841000000106,Other antepartum haemorrhage - not delivered,,Threatened abortion
1698,198934001,Other antepartum haemorrhage - not delivered,,Threatened abortion
1699,198935000,Other antepartum haemorrhage NOS,,Threatened abortion
1700,582771000000106,Other antepartum haemorrhage NOS,,Threatened abortion
1701,198932002,Other antepartum haemorrhage unspecified,,Threatened abortion
1702,644641000000102,Other antepartum haemorrhage unspecified,,Threatened abortion
1703,11955003,"Other antepartum haemorrhage, NEC",,Threatened abortion
1704,267196007,Other haemorrhage in early pregnancy,,Threatened abortion
1705,198888005,Other haemorrhage in early pregnancy - delivered,,Threatened abortion
1706,198889002,Other haemorrhage in early pregnancy - not delivered,,Threatened abortion
1707,198890006,Other haemorrhage in early pregnancy NOS,,Threatened abortion
1708,198887000,Other haemorrhage in early pregnancy unspecified,,Threatened abortion
1709,111437002,"Other specified haemorrhage in early pregnancy, antepartum condition or complication",,Threatened abortion
1710,38939005,"Other specified haemorrhage in early pregnancy, NEC",,Threatened abortion
1711,111435005,"Other specified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1712,111433003,"Unspecified haemorrhage in early pregnancy, unspecified as to episode of care",,Threatened abortion
1713,26918003,Ascending cholangitis,,Cholangitis
1714,39579001,Anaphylaxis,,Toxic effect: Venom of other arthropods
1715,87467006,Generalised anaphylaxis,,Toxic effect: Venom of other arthropods
1716,157755003,Systemic anaphylaxis,,Toxic effect: Venom of other arthropods
1717,201624004,(Crystal: [arthropathies] or [arthritis] or [synovitis]) or (chondrocalcinosis) or (pseudogout),,"Crystal arthropathy, unspecified"
1718,429631000000106,[X]Crystal arthropathy in other metabolic disorders classified elsewhere,,"Crystal arthropathy, unspecified"
1719,471941000000107,[X]Other specified crystal arthropathies,,"Crystal arthropathy, unspecified"
1720,18834007,Crystal arthropathy,,"Crystal arthropathy, unspecified"
1721,201721000,Crystal arthropathy NOS,,"Crystal arthropathy, unspecified"
1722,201687008,Crystal arthropathy NOS,,"Crystal arthropathy, unspecified"
1723,568301000000101,Crystal arthropathy NOS,,"Crystal arthropathy, unspecified"
1724,604671000000103,"Crystal arthropathy NOS, of 1st metatarsophalangeal joint",,"Crystal arthropathy, unspecified"
1725,201716003,"Crystal arthropathy NOS, of 1st metatarsophalangeal joint",,"Crystal arthropathy, unspecified"
1726,201699001,"Crystal arthropathy NOS, of acromioclavicular joint",,"Crystal arthropathy, unspecified"
1727,568391000000108,"Crystal arthropathy NOS, of acromioclavicular joint",,"Crystal arthropathy, unspecified"
1728,201711008,"Crystal arthropathy NOS, of ankle",,"Crystal arthropathy, unspecified"
1729,604661000000105,"Crystal arthropathy NOS, of ankle",,"Crystal arthropathy, unspecified"
1730,604621000000102,"Crystal arthropathy NOS, of distal interphalangeal joint of finger",,"Crystal arthropathy, unspecified"
1731,201705005,"Crystal arthropathy NOS, of distal interphalangeal joint of finger",,"Crystal arthropathy, unspecified"
1732,201701001,"Crystal arthropathy NOS, of distal radioulnar joint",,"Crystal arthropathy, unspecified"
1733,661281000000101,"Crystal arthropathy NOS, of distal radioulnar joint",,"Crystal arthropathy, unspecified"
1734,201700000,"Crystal arthropathy NOS, of elbow",,"Crystal arthropathy, unspecified"
1735,661271000000103,"Crystal arthropathy NOS, of elbow",,"Crystal arthropathy, unspecified"
1736,659531000000109,"Crystal arthropathy NOS, of hip",,"Crystal arthropathy, unspecified"
1737,201707002,"Crystal arthropathy NOS, of hip",,"Crystal arthropathy, unspecified"
1738,604691000000104,"Crystal arthropathy NOS, of interphalangeal joint of toe",,"Crystal arthropathy, unspecified"
1739,201718002,"Crystal arthropathy NOS, of interphalangeal joint of toe",,"Crystal arthropathy, unspecified"
1740,604641000000109,"Crystal arthropathy NOS, of knee",,"Crystal arthropathy, unspecified"
1741,201709004,"Crystal arthropathy NOS, of knee",,"Crystal arthropathy, unspecified"
1742,604681000000101,"Crystal arthropathy NOS, of lesser metatarsophalangeal joint",,"Crystal arthropathy, unspecified"
1743,201717007,"Crystal arthropathy NOS, of lesser metatarsophalangeal joint",,"Crystal arthropathy, unspecified"
1744,201703003,"Crystal arthropathy NOS, of metacarpophalangeal joint",,"Crystal arthropathy, unspecified"
1745,619401000000105,"Crystal arthropathy NOS, of metacarpophalangeal joint",,"Crystal arthropathy, unspecified"
1746,201719005,"Crystal arthropathy NOS, of multiple sites",,"Crystal arthropathy, unspecified"
1747,566871000000104,"Crystal arthropathy NOS, of multiple sites",,"Crystal arthropathy, unspecified"
1748,566881000000102,"Crystal arthropathy NOS, of other specified site",,"Crystal arthropathy, unspecified"
1749,201720004,"Crystal arthropathy NOS, of other specified site",,"Crystal arthropathy, unspecified"
1750,625901000000105,"Crystal arthropathy NOS, of other tarsal joint",,"Crystal arthropathy, unspecified"
1751,201715004,"Crystal arthropathy NOS, of other tarsal joint",,"Crystal arthropathy, unspecified"
1752,604611000000108,"Crystal arthropathy NOS, of proximal interphalangeal joint of finger",,"Crystal arthropathy, unspecified"
1753,201704009,"Crystal arthropathy NOS, of proximal interphalangeal joint of finger",,"Crystal arthropathy, unspecified"
1754,659561000000104,"Crystal arthropathy NOS, of sacroiliac joint",,"Crystal arthropathy, unspecified"
1755,201708007,"Crystal arthropathy NOS, of sacroiliac joint",,"Crystal arthropathy, unspecified"
1756,568371000000109,"Crystal arthropathy NOS, of shoulder",,"Crystal arthropathy, unspecified"
1757,201696008,"Crystal arthropathy NOS, of shoulder",,"Crystal arthropathy, unspecified"
1758,568381000000106,"Crystal arthropathy NOS, of sternoclavicular joint",,"Crystal arthropathy, unspecified"
1759,201697004,"Crystal arthropathy NOS, of sternoclavicular joint",,"Crystal arthropathy, unspecified"
1760,659581000000108,"Crystal arthropathy NOS, of subtalar joint",,"Crystal arthropathy, unspecified"
1761,201713006,"Crystal arthropathy NOS, of subtalar joint",,"Crystal arthropathy, unspecified"
1762,625891000000109,"Crystal arthropathy NOS, of talonavicular joint",,"Crystal arthropathy, unspecified"
1763,201714000,"Crystal arthropathy NOS, of talonavicular joint",,"Crystal arthropathy, unspecified"
1764,568361000000102,"Crystal arthropathy NOS, of the ankle and foot",,"Crystal arthropathy, unspecified"
1765,201695007,"Crystal arthropathy NOS, of the ankle and foot",,"Crystal arthropathy, unspecified"
1766,661211000000108,"Crystal arthropathy NOS, of the forearm",,"Crystal arthropathy, unspecified"
1767,201691003,"Crystal arthropathy NOS, of the forearm",,"Crystal arthropathy, unspecified"
1768,568331000000107,"Crystal arthropathy NOS, of the hand",,"Crystal arthropathy, unspecified"
1769,201692005,"Crystal arthropathy NOS, of the hand",,"Crystal arthropathy, unspecified"
